StudentID,Name,AcademicInterest,ExtracurricularActivities,Skills,Location,YearOfStudy,Major,GPA,Languages,ClubMemberships,ResearchInterests
1,Student 1,Psychology,Debate Club,Problem Solving,New York,Freshman,Psychology,3.27,"Chinese, Japanese, Spanish, German, French","Music Club, Art Club, Sports Team, Debate Club, Coding Club",Biomedical Engineering
2,Student 2,Psychology,Debate Club,"Leadership, Problem Solving, Public Speaking, Data Analysis, Programming",Boston,Graduate,Physics,3.17,"French, English, Chinese, Spanish, Japanese","Art Club, Music Club, Sports Team, Coding Club",Urban Planning
3,Student 3,History,Volunteer Group,"Data Analysis, Leadership, Public Speaking, Artistic, Problem Solving",Chicago,Junior,Biology,2.09,"Spanish, Japanese, German, French","Music Club, Art Club, Debate Club, Volunteer Group, Coding Club, Sports Team",Nanotechnology
4,Student 4,Computer Science,Volunteer Group,"Public Speaking, Data Analysis, Problem Solving",Chicago,Graduate,Biology,2.56,"Japanese, Chinese, Spanish, French","Sports Team, Volunteer Group",Space Exploration
5,Student 5,Computer Science,Sports Team,Data Analysis,Chicago,Graduate,Computer Science,2.01,English,"Sports Team, Volunteer Group, Music Club",Climate Change
6,Student 6,Biology,Debate Club,"Public Speaking, Artistic",Chicago,Junior,History,2.99,Japanese,"Art Club, Coding Club, Volunteer Group",Machine Learning
7,Student 7,History,Art Club,"Public Speaking, Problem Solving, Data Analysis, Artistic",New York,Senior,Psychology,3.35,"Chinese, English, Spanish, German","Music Club, Debate Club, Sports Team",Cybersecurity
8,Student 8,Computer Science,Volunteer Group,"Programming, Public Speaking, Artistic, Leadership",Houston,Junior,Psychology,3.64,"Chinese, Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group",Environmental Sustainability
9,Student 9,Mathematics,Sports Team,"Leadership, Artistic, Problem Solving, Public Speaking, Programming, Data Analysis",New York,Senior,Mathematics,2.97,"German, English, Japanese, Chinese",Music Club,Bioinformatics
10,Student 10,Biology,Sports Team,"Programming, Data Analysis, Problem Solving, Leadership",Los Angeles,Junior,History,3.03,"Chinese, German, Spanish","Coding Club, Volunteer Group, Music Club",Social Sciences
